% UltraMSK: version 1.0.2
% Site: localhost.localdomain
% Date: 2016-07-23
% Frequency: 24000.000000 Hz
% Baud Rate: 200 Hz
% VLF Channel: 2
% PPS Channel: 1
% Jack Server: default
% Output Format: Polar
% End          
12660.000  -40.55   68.84
12680.000  -40.65   69.44
12700.000  -40.65   69.52
12720.000  -40.67   69.40
12740.000  -40.68   69.39
12760.000  -40.66   69.50
12780.000  -40.59   69.49
12800.000  -40.57   69.75
12820.000  -40.57   69.93
12840.000  -40.57   70.28
12860.000  -40.61   70.66
12880.000  -40.62   70.83
12900.000  -40.62   70.75
12920.000  -40.69   70.58
12940.000  -40.69   70.28
12960.000  -40.71   69.97
12980.000  -40.74   69.68
13000.000  -40.76   69.22
13020.000  -40.78   68.56
13040.000  -40.72   68.04
13060.000  -40.68   67.77
13080.000  -40.68   67.82
13100.000  -40.63   67.67
13120.000  -40.61   67.53
13140.000  -40.56   67.38
13160.000  -40.60   67.65
13180.000  -40.47   68.34
13200.000  -40.50   68.75
13220.000  -40.53   68.85
13240.000  -40.62   69.16
13260.000  -40.69   69.89
13280.000  -40.71   70.61
13300.000  -40.73   71.00
13320.000  -40.79   71.09
13340.000  -40.85   71.42
13360.000  -40.84   71.57
13380.000  -40.83   71.14
13400.000  -40.97   70.51
13420.000  -41.01   70.20
13440.000  -41.06   69.93
13460.000  -41.13   69.67
13480.000  -41.19   69.74
13500.000  -41.20   69.88
13520.000  -41.21   69.80
13540.000  -41.26   69.80
13560.000  -41.32   69.59
13580.000  -41.37   69.05
13600.000  -41.45   68.52
13620.000  -41.47   67.83
13640.000  -41.52   67.18
13660.000  -41.43   66.77
13680.000  -41.45   66.01
13700.000  -41.44   65.06
13720.000  -41.45   64.11
13740.000  -41.51   62.93
13760.000  -41.51   62.13
13780.000  -41.48   61.38
13800.000  -41.41   61.16
13820.000  -41.25   60.81
13840.000  -41.05   60.19
% Warning: sampling overrun detected
13860.000  -40.91   59.45
13880.000  -40.84   58.28
13900.000  -40.64   57.69
13920.000  -40.58   57.25
13940.000  -40.48   56.68
13960.000  -40.37   56.64
13980.000  -40.28   57.01
14000.000  -40.18   57.26
14020.000  -40.03   57.14
14040.000  -39.93   57.19
14060.000  -39.78   57.17
14080.000  -39.65   57.19
14100.000  -39.55   57.25
14120.000  -39.49   57.28
14140.000  -39.27   57.37
14160.000  -39.10   57.64
14180.000  -38.93   58.29
14200.000  -38.79   58.84
14220.000  -38.69   59.58
14240.000  -38.60   59.93
14260.000  -38.56   60.22
14280.000  -38.57   61.01
14300.000  -38.56   61.87
14320.000  -38.53   62.82
14340.000  -38.53   63.76
14360.000  -38.55   64.60
14380.000  -38.43   65.30
14400.000  -38.39   65.83
14420.000  -38.35   66.49
14440.000  -38.27   67.11
14460.000  -38.21   67.61
14480.000  -38.18   68.25
14500.000  -38.15   68.95
14520.000  -38.13   69.65
14540.000  -38.15   70.36
14560.000  -38.18   71.25
14580.000  -38.23   72.13
14600.000  -38.30   72.90
14620.000  -38.25   73.33
14640.000  -38.25   73.81
14660.000  -38.23   74.46
14680.000  -38.25   74.97
14700.000  -38.25   75.60
14720.000  -38.28   76.15
14740.000  -38.28   76.98
14760.000  -38.30   77.76
14780.000  -38.31   78.64
14800.000  -38.36   79.28
14820.000  -38.43   79.85
14840.000  -38.50   80.38
14860.000  -38.44   80.76
14880.000  -38.44   81.24
14900.000  -38.48   81.55
14920.000  -38.53   81.54
14940.000  -38.55   81.65
14960.000  -38.56   81.93
14980.000  -38.57   82.44
15000.000  -38.58   83.13
15020.000  -38.63   83.78
15040.000  -38.65   84.33
15060.000  -38.68   84.47
15080.000  -38.68   84.82
15100.000  -38.66   85.42
15120.000  -38.69   85.97
15140.000  -38.71   86.59
15160.000  -38.75   87.22
15180.000  -38.79   87.88
